220929, 과실류, 자두, 추희, 1, 0, 260.0
220929, 과채류, 가지, 가지, 1, 0, 170.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 900.0
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 14.186047
220929, 농림가공, 곡물제조, 연두부, 0, 0, 100.0
220929, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 75.0
220929, 엽경채류, 상추, 기타상추, 1, 0, 455.0
220929, 농림가공, 곡물제조, 순두부, 0, 0, 75.0
220929, 조미채소류, 풋고추, 기타풋고추, 1, 0, 15.0
220929, 과실류, 단감, 송본, 1, 0, 250.0
220929, 과실류, 단감, 송본, 1, 0, 120.0
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 433.33334
220929, 엽경채류, 얼갈이배추, 알배기, 1, 0, 225.0
220929, 조미채소류, 풋고추, 청초, 1, 0, 240.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 575.0
220929, 엽경채류, 깻잎, 기타깻잎, 1, 0, 180.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 725.0
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 466.66666
220929, 과채류, 오이, 취청, 1, 0, 310.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 400.0
220929, 두류, 콩, 콩, 1, 0, 575.0
220929, 수실류, 대추, 대추, 1, 0, 350.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 96.08696
220929, 과채류, 호박, 늙은호박, 1, 0, 8.113208
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1250.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 250.0
220929, 과채류, 오이, 취청, 1, 0, 441.0
220929, 과일과채류, 수박, 수박, 1, 0, 89.28571
220929, 두류, 콩, 콩, 1, 0, 582.5
220929, 수실류, 떫은감, 기타, 1, 0, 220.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 807.5
220929, 과채류, 오이, 취청, 1, 0, 445.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220929, 두류, 콩, 콩, 1, 0, 542.5
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 900.0
220929, 과실류, 복숭아, 장호원황도, 1, 0, 200.0
