220928, 과실류, 감귤, 하우스감귤, 1, 0, 783.3333
220928, 과실류, 감귤, 하우스감귤, 1, 0, 733.3333
220928, 과실류, 감귤, 극조생감귤, 1, 0, 300.0
220928, 버섯류, 새송이, 새송이, 1, 0, 80.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1865.0
220928, 엽경채류, 상추, 적포기, 1, 0, 350.0
220928, 과일과채류, 메론, 네트계, 1, 0, 312.5
220928, 수실류, 떫은감, 대봉시, 1, 0, 330.0
220928, 과실류, 사과, 홍장군, 1, 0, 155.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 520.0
