220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 460.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 666.6667
220928, 엽경채류, 부추, 일반부추, 1, 0, 220.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 262.5
220928, 조미채소류, 풋고추, 청양, 1, 0, 280.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 240.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 280.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 283.33334
220928, 엽경채류, 부추, 일반부추, 1, 0, 240.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 375.0
220928, 조미채소류, 풋고추, 녹광, 1, 0, 238.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 246.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 150.44247
220928, 과채류, 호박, 애호박, 1, 0, 350.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 380.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 350.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 158.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 160.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 633.3333
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 155.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 252.21239
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 315.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 220.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 600.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 220.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 220.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 228.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 557.5
220928, 엽경채류, 부추, 일반부추, 1, 0, 220.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 550.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 590.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 155.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 252.21239
220928, 과실류, 감귤, 극조생감귤, 1, 0, 200.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 200.0
220928, 과채류, 호박, 애호박, 1, 0, 275.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 88.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 87.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 733.3333
220928, 과채류, 호박, 쥬키니호박, 1, 0, 98.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 466.66666
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1062.5
220928, 엽경채류, 부추, 일반부추, 1, 0, 200.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 815.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 212.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1025.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 212.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 800.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 475.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 418.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1055.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 466.66666
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 400.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 178.57143
220928, 과채류, 호박, 애호박, 1, 0, 425.0
220928, 엽경채류, 고들빼기, 고들빼기, 1, 0, 1020.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 316.66666
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 400.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 200.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 125.0
220928, 두류, 콩, 콩, 1, 0, 405.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 280.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1025.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 400.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 782.5
220928, 두류, 콩, 콩, 1, 0, 565.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 525.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1035.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 444.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 380.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 400.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 252.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 과채류, 호박, 쥬키니호박, 1, 0, 131.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 287.5
220928, 과실류, 포도, 캠벨얼리, 1, 0, 366.66666
220928, 과실류, 감귤, 극조생감귤, 1, 0, 200.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 400.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 365.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 250.0
220928, 두류, 콩, 콩, 1, 0, 552.5
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 787.5
220928, 엽경채류, 부추, 일반부추, 1, 0, 392.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 325.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1132.5
220928, 엽경채류, 부추, 일반부추, 1, 0, 378.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 725.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 355.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1082.5
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 675.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 180.0
220928, 과채류, 호박, 애호박, 1, 0, 180.0
220928, 엽경채류, 고들빼기, 고들빼기, 1, 0, 940.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 633.3333
220928, 과채류, 호박, 애호박, 1, 0, 75.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 466.66666
220928, 엽경채류, 부추, 일반부추, 1, 0, 220.0
220928, 과실류, 무화과, 무화과, 1, 0, 350.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 250.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 567.5
220928, 엽경채류, 부추, 일반부추, 1, 0, 320.0
220928, 조미채소류, 풋고추, 청초, 1, 0, 56.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 43.75
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 450.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 356.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 260.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 400.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 442.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 105.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 272.72726
220928, 과실류, 감귤, 극조생감귤, 1, 0, 160.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 342.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
220928, 과실류, 무화과, 무화과, 1, 0, 350.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 137.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 81.0
220928, 엽경채류, 고들빼기, 고들빼기, 1, 0, 900.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 248.0
220928, 과채류, 호박, 애호박, 1, 0, 260.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 330.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 625.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 400.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 675.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 290.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 420.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 600.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 326.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 91.25
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 470.0
220928, 과실류, 무화과, 무화과, 1, 0, 350.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 733.3333
220928, 조미채소류, 풋고추, 녹광, 1, 0, 250.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 120.0
220928, 과채류, 호박, 애호박, 1, 0, 250.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 300.0
220928, 과실류, 무화과, 무화과, 1, 0, 350.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 250.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 166.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 388.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 530.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 88.75
220928, 엽경채류, 부추, 일반부추, 1, 0, 384.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 482.5
220928, 조미채소류, 풋고추, 청양, 1, 0, 344.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 372.0
