20220919, 과채류, 오이, 가시오이, 1, 1, 1800.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 376.66666
20220919, 과채류, 오이, 가시오이, 1, 1, 1800.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 76.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 76.0
20220919, 엽경채류, 배추, 쌈배추, 1, 1, 7381.25
20220919, 수실류, 밤, 기타밤, 1, 1, 5000.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 76.0
20220919, 과실류, 배, 신고, 1, 0, 120.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 383.33334
20220919, 과실류, 배, 신고, 1, 0, 120.0
20220919, 과실류, 사과, 홍로, 1, 0, 150.0
20220919, 수실류, 밤, 기타밤, 1, 1, 2000.0
20220919, 과일과채류, 메론, 네트계, 1, 0, 375.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
20220919, 과실류, 사과, 홍로, 1, 0, 200.0
20220919, 과실류, 사과, 홍로, 1, 0, 200.0
20220919, 엽경채류, 시금치, 시금치, 1, 1, 5550.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 7900.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 550.0
20220919, 수실류, 밤, 기타밤, 1, 1, 1100.0
20220919, 과실류, 배, 풍수, 1, 0, 133.33333
20220919, 엽경채류, 아욱, 아욱, 1, 1, 2657.5
20220919, 과실류, 배, 풍수, 1, 0, 133.33333
20220919, 과실류, 배, 풍수, 1, 0, 133.33333
20220919, 과일과채류, 메론, 네트계, 1, 0, 312.5
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 350.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 733.3333
20220919, 산채류, 참나물, 참나물, 1, 1, 6340.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 2575.0
20220919, 수실류, 밤, 기타밤, 1, 1, 1400.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 233.33333
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 120.0
20220919, 과실류, 포도, 거봉, 1, 1, 3333.3333
20220919, 서류, 고구마, 밤고구마, 1, 0, 120.0
20220919, 과실류, 배, 풍수, 1, 0, 100.0
20220919, 과실류, 배, 풍수, 1, 0, 100.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
20220919, 엽경채류, 쑥갓, 쑥갓, 1, 1, 4500.0
20220919, 과실류, 사과, 홍로, 1, 0, 150.0
20220919, 수실류, 밤, 기타밤, 1, 1, 4000.0
20220919, 과실류, 사과, 홍로, 1, 0, 150.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 3875.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 20035.0
20220919, 과실류, 배, 풍수, 1, 0, 120.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 175.0
20220919, 과실류, 배, 풍수, 1, 0, 120.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 175.0
20220919, 과실류, 포도, 거봉, 1, 1, 1333.3334
20220919, 과실류, 배, 풍수, 1, 0, 133.33333
20220919, 과실류, 배, 풍수, 1, 0, 133.33333
20220919, 수실류, 밤, 기타밤, 1, 1, 2200.0
20220919, 엽경채류, 상추, 적상추, 1, 1, 4500.0
20220919, 과실류, 사과, 홍옥, 1, 0, 50.0
20220919, 수실류, 밤, 기타밤, 1, 1, 6000.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 4250.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 223.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 223.0
20220919, 과실류, 사과, 홍로, 1, 0, 150.0
20220919, 과실류, 포도, 거봉, 1, 1, 2666.6667
20220919, 과실류, 사과, 홍옥, 1, 0, 50.0
20220919, 엽경채류, 어린잎, 어린잎채소, 1, 0, 873.3333
20220919, 양채류, 브로코리(녹색꽃양배추), 뉴그린, 1, 0, 745.0
20220919, 양채류, 양상추, 기타양상추, 1, 0, 2800.0
20220919, 양채류, 양상추, 기타양상추, 1, 0, 2730.0
20220919, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 323.75
20220919, 엽경채류, 무순, 무순, 1, 0, 832.0
20220919, 산채류, 새싹, 새싹, 1, 0, 1044.0
20220919, 엽경채류, 어린잎, 어린잎채소, 1, 0, 790.0
20220919, 엽경채류, 무순, 무순, 1, 0, 832.0
20220919, 산채류, 새싹, 새싹, 1, 0, 1044.0
20220919, 엽경채류, 어린잎, 어린잎채소, 1, 0, 790.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 4150.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 466.66666
20220919, 산채류, 마, 기타마, 1, 1, 1000.0
20220919, 수실류, 밤, 기타밤, 1, 1, 1600.0
20220919, 과실류, 아로니아, 아로니아, 1, 0, 110.0
20220919, 산채류, 참나물, 참나물, 1, 1, 6622.5
20220919, 서류, 고구마, 밤고구마, 1, 0, 243.0
20220919, 산채류, 마, 기타마, 1, 1, 2100.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 550.0
20220919, 과실류, 파인애플, 파인애플, 0, 0, 300.0
20220919, 과실류, 파인애플, 파인애플, 0, 0, 300.0
20220919, 과실류, 파인애플, 파인애플, 0, 0, 300.0
20220919, 과실류, 파인애플, 파인애플, 0, 0, 300.0
20220919, 과실류, 파인애플, 파인애플, 0, 0, 300.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 243.0
20220919, 산채류, 마, 기타마, 1, 1, 3600.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 683.3333
20220919, 수실류, 대추, 기타대추, 1, 1, 7250.0
